ID1,CASEID,HHID,V001,V002,V003,V004,V007,V008,V009,V010,V011,V012,V013,V014,V015,V017,V018,V019,V019A,V020,V021,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V040,V042,V043,V044,V000,Q105DD,V101,V102,V103,V104,V105,V106,V107,V113,V115,V116,V119,V120,V121,V122,V123,V124,V125,V127,V128,V129,V130,V131,V133,V134,V135,V136,V137,V138,V139,V140,V141,V149,V150,V151,V152,V153,AWFACTT,AWFACTU,AWFACTR,AWFACTE,AWFACTW,V155,V156,V157,V158,V159,V160,V161,V166,V167,V168,ML101,QD333_1,QD333_2,QD333_3,QD333_4,QD333_5,QD333_6,UBIGEO,V022,V005,V190,V191,mujeres12a49
2024,      504202001  2,      504202001,5042,20,2,5042,2024,1495, , , , , , ,4,1429,0,0,0,0,5042,9,9,1,1,2,0,0,0, ,0, , ,3719,1,0,3,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,090118,78,0,4,1.21571945007867, 
2024,      504202701  3,      504202701,5042,27,3,5042,2024,1495,4,1985,1024,39,5,1,1,1429,14,67,4,0,5042,9,9,1,1,3,0,0,0, ,0, , ,3719,1,0,1,PE6,15,9,1,0,95, ,3,5,11,996,11,1,1,1,1,1,0,0,11,21,34, ,10,16,1,1,4,0,2,9,1,1,5,3,1,66,0,100,100,100,100,100,2, ,1,0,1,0,2,994, , , ,2,2,2,2,2,2,090118,78,1555884,4,1.04424208710085,2
2024,      504202701  4,      504202701,5042,27,4,5042,2024,1495,11,1996,1163,27,3,1,1,1429,14,67,4,0,5042,9,9,1,1,3,0,0,0, ,0, , ,3719,1,0,0,PE6,3,9,1,1,95, ,3,5,11,996,11,1,1,1,1,1,0,0,11,21,34, ,10,16,1,1,4,0,2,9,1,1,5,3,1,66,0,100,100,100,100,100,2, ,1,2,3,0,2,994, , , ,2,2,2,2,2,2,090118,78,1555884,4,1.04424208710085,2
2024,      504206101  2,      504206101,5042,61,2,5042,2024,1495,9,1983,1006,40,6,1,1,1429,14,67,4,0,5042,9,9,1,1,1,0,0,0, ,0, ,1,3719,1,0,1,PE6,26,9,1,0,15,0,3,3,11,996,11,1,1,1,1,1,0,1,34,31,31, ,10,14,1,1,6,1,1,9,1,1,5,2,1,40,0,100,100,100,100,100,2, ,2,3,3,0,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.363476822851264,2
2024,      504206101  5,      504206101,5042,61,5,5042,2024,1495,4,2012,1349,12,0,1,1,1429,14,67,4,0,5042,9,9,1,1,1,0,0,0, ,0, , ,3719,1,0,0,PE6,25,9,1,0,5,0,1,5,11,996,11,1,1,1,1,1,0,1,34,31,31, ,10,5,1,1,6,1,1,9,1,1,1,3,1,40,0,100,100,100,100,100,2,0,1,3,3,0,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.363476822851264,0
2024,      504206801  1,      504206801,5042,68,1,5042,2024,1495,7,1980,968,43,6,1,1,1429,14,67,4,0,5042,9,9,1,1,2,0,0,0, ,0, , ,3719,1,0,1,PE6,19,9,1,0,2,0,2,5,11,996,11,1,0,1,0,0,1,0,34,31,31, ,10,11,1,1,4,0,1,9,1,1,4,1,2,43,0,100,100,100,100,100,2, ,1,1,3,0,2,994, , , ,2,2,2,2,2,2,090118,78,1555884,4,.886277812631175,2
2024,      504206901  2,      504206901,5042,69,2,5042,2024,1497, , , , , , ,5,1429,0,0,0,0,5042,9,9,1,1,5,0,0,0, ,0, , ,3719,1,0,3,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,090118,78,0,2,-.125021780859631, 
2024,      504208901  2,      504208901,5042,89,2,5042,2024,1495,8,1993,1124,30,4,1,1,1429,14,67,4,0,5042,9,9,1,1,1,0,0,0, ,0, ,1,3719,1,0,1,PE6,3,9,1,2,1,0,3,5,11,996,11,1,0,1,0,1,0,0,32,31,31, ,10,16,1,1,4,2,1,9,1,1,5,2,1,30,0,100,100,100,100,100,2, ,3,0,1,1,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.64123847539075,2
2024,      504209701  2,      504209701,5042,97,2,5042,2024,1495,6,1983,1002,41,6,1,1,1429,14,67,4,0,5042,9,9,1,1,2,0,0,0, ,0, , ,3719,1,0,1,PE6,2,9,1,0,95, ,3,2,11,996,11,1,0,1,1,0,0,0,11,96,34, ,10,18,1,1,2,0,1,9,1,1,5,3,2,58,0,100,100,100,100,100,2, ,2,1,1,0,2,994, , , ,2,2,2,2,2,2,090118,78,1555884,3,.752858308829573,2
2024,      504210601  2,      504210601,5042,106,2,5042,2024,1495,9,1976,921,47,7,1,1,1429,14,67,4,0,5042,9,9,1,1,1,0,0,0, ,0, ,1,3719,1,0,0,PE6,4,9,1,0,95, ,2,5,11,996,11,1,1,1,0,0,0,0,34,31,31, ,10,11,1,1,5,1,2,9,1,1,4,2,1,49,0,100,100,100,100,100,2, ,1,1,3,0,2,994, , , ,2,2,2,2,2,2,090118,78,237908,3,.669668142095043,2
